artifact_type,artifact,technical_description,semantic_candidate_description,validation_status,review_question,evidence_ids,owner_domain,sensitivity
TABLE,ads_clienteagenteseguro,Physical table declared in .data_base/asgard.sql,"Tabla candidata del dominio ads: Agentes de seguro o soporte documental asociado a seguros/contactos. Por su nombre agrupa cliente/tenant propietario de la operacion o filtro de visibilidad, agentes externos o internos que participan en gestion aduanera/operativa, agente externo o interno que participa en gestion aduanera/operativa. Tiene lectura y escritura observada, por lo que probablemente participa en un flujo transaccional activo.",SEMANTIC_INFERENCE_REVIEW_REQUIRED,"Confirmar si `ads_clienteagenteseguro` representa correctamente: Tabla candidata del dominio ads: Agentes de seguro o soporte documental asociado a seguros/contactos. Por su nombre agrupa cliente/tenant propietario de la operacion o filtro de visibilidad, agentes externos o internos que participan en gestion aduanera/operativa, agente externo o interno que participa en gestion aduanera/operativa. Tiene lectura y escritura observada, por lo que probablemente participa en un flujo transaccional activo.","[""DB-TABLE-8039FAC4E4DDAA""]",ads,UNKNOWN_OR_BUSINESS_DATA
TABLE,ads_contactos,Physical table declared in .data_base/asgard.sql,"Tabla candidata del dominio ads: Agentes de seguro o soporte documental asociado a seguros/contactos. Por su nombre agrupa personas de contacto y sus datos de comunicacion, persona de contacto y sus datos de comunicacion. Tiene lectura y escritura observada, por lo que probablemente participa en un flujo transaccional activo.",SEMANTIC_INFERENCE_REVIEW_REQUIRED,"Confirmar si `ads_contactos` representa correctamente: Tabla candidata del dominio ads: Agentes de seguro o soporte documental asociado a seguros/contactos. Por su nombre agrupa personas de contacto y sus datos de comunicacion, persona de contacto y sus datos de comunicacion. Tiene lectura y escritura observada, por lo que probablemente participa en un flujo transaccional activo.","[""DB-TABLE-CC6DBAB1B625D4""]",ads,LIKELY_PERSONAL_OR_SENSITIVE
TABLE,ads_documentos,Physical table declared in .data_base/asgard.sql,"Tabla candidata del dominio ads: Agentes de seguro o soporte documental asociado a seguros/contactos. Por su nombre agrupa documentos o soportes asociados al expediente, documento o soporte asociado al expediente. Tiene lectura y escritura observada, por lo que probablemente participa en un flujo transaccional activo.",SEMANTIC_INFERENCE_REVIEW_REQUIRED,"Confirmar si `ads_documentos` representa correctamente: Tabla candidata del dominio ads: Agentes de seguro o soporte documental asociado a seguros/contactos. Por su nombre agrupa documentos o soportes asociados al expediente, documento o soporte asociado al expediente. Tiene lectura y escritura observada, por lo que probablemente participa en un flujo transaccional activo.","[""DB-TABLE-F77D506A904707""]",ads,UNKNOWN_OR_BUSINESS_DATA
TABLE,ads_tipocontactos,Physical table declared in .data_base/asgard.sql,"Tabla candidata del dominio ads: Agentes de seguro o soporte documental asociado a seguros/contactos. Por su nombre agrupa personas de contacto y sus datos de comunicacion, persona de contacto y sus datos de comunicacion, tipo/clasificador que parametriza la regla o pantalla. Tiene lecturas observadas y parece actuar como consulta, catalogo o fuente de reporte.",SEMANTIC_INFERENCE_REVIEW_REQUIRED,"Confirmar si `ads_tipocontactos` representa correctamente: Tabla candidata del dominio ads: Agentes de seguro o soporte documental asociado a seguros/contactos. Por su nombre agrupa personas de contacto y sus datos de comunicacion, persona de contacto y sus datos de comunicacion, tipo/clasificador que parametriza la regla o pantalla. Tiene lecturas observadas y parece actuar como consulta, catalogo o fuente de reporte.","[""DB-TABLE-40E344DDDCC30B""]",ads,LIKELY_PERSONAL_OR_SENSITIVE
TABLE,adt_agente_traking,Physical table declared in .data_base/asgard.sql,"Tabla candidata del dominio transversal: Tabla transversal o legacy sin prefijo funcional inequivoco. Por su nombre agrupa agente externo o interno que participa en gestion aduanera/operativa. Tiene lectura y escritura observada, por lo que probablemente participa en un flujo transaccional activo.",SEMANTIC_INFERENCE_REVIEW_REQUIRED,"Confirmar si `adt_agente_traking` representa correctamente: Tabla candidata del dominio transversal: Tabla transversal o legacy sin prefijo funcional inequivoco. Por su nombre agrupa agente externo o interno que participa en gestion aduanera/operativa. Tiene lectura y escritura observada, por lo que probablemente participa en un flujo transaccional activo.","[""DB-TABLE-B0415CEAB695B2""]",transversal,UNKNOWN_OR_BUSINESS_DATA
TABLE,ages_asesoria_gestion_carpetas,Physical table declared in .data_base/asgard.sql,"Tabla candidata del dominio ages: Asesoria o gestion de carpetas/tramites, observaciones, pagos y valoraciones. Por su nombre agrupa entidad o catalogo legacy cuyo significado debe confirmarse por uso en codigo y datos. Tiene lecturas observadas y parece actuar como consulta, catalogo o fuente de reporte.",SEMANTIC_INFERENCE_REVIEW_REQUIRED,"Confirmar si `ages_asesoria_gestion_carpetas` representa correctamente: Tabla candidata del dominio ages: Asesoria o gestion de carpetas/tramites, observaciones, pagos y valoraciones. Por su nombre agrupa entidad o catalogo legacy cuyo significado debe confirmarse por uso en codigo y datos. Tiene lecturas observadas y parece actuar como consulta, catalogo o fuente de reporte.","[""DB-TABLE-9939EAFD6E1445""]",ages,UNKNOWN_OR_BUSINESS_DATA
TABLE,ages_estados,Physical table declared in .data_base/asgard.sql,"Tabla candidata del dominio ages: Asesoria o gestion de carpetas/tramites, observaciones, pagos y valoraciones. Por su nombre agrupa estados de ciclo de vida o clasificacion operacional, estado de ciclo de vida o clasificacion operacional. Tiene lecturas observadas y parece actuar como consulta, catalogo o fuente de reporte.",SEMANTIC_INFERENCE_REVIEW_REQUIRED,"Confirmar si `ages_estados` representa correctamente: Tabla candidata del dominio ages: Asesoria o gestion de carpetas/tramites, observaciones, pagos y valoraciones. Por su nombre agrupa estados de ciclo de vida o clasificacion operacional, estado de ciclo de vida o clasificacion operacional. Tiene lecturas observadas y parece actuar como consulta, catalogo o fuente de reporte.","[""DB-TABLE-4E6CAFC6CC4A00""]",ages,UNKNOWN_OR_BUSINESS_DATA
TABLE,ages_etapa,Physical table declared in .data_base/asgard.sql,"Tabla candidata del dominio ages: Asesoria o gestion de carpetas/tramites, observaciones, pagos y valoraciones. Por su nombre agrupa entidad o catalogo legacy cuyo significado debe confirmarse por uso en codigo y datos. Tiene lecturas observadas y parece actuar como consulta, catalogo o fuente de reporte.",SEMANTIC_INFERENCE_REVIEW_REQUIRED,"Confirmar si `ages_etapa` representa correctamente: Tabla candidata del dominio ages: Asesoria o gestion de carpetas/tramites, observaciones, pagos y valoraciones. Por su nombre agrupa entidad o catalogo legacy cuyo significado debe confirmarse por uso en codigo y datos. Tiene lecturas observadas y parece actuar como consulta, catalogo o fuente de reporte.","[""DB-TABLE-AFE8CBD4CF945C""]",ages,UNKNOWN_OR_BUSINESS_DATA
TABLE,ages_observaciones_tramites,Physical table declared in .data_base/asgard.sql,"Tabla candidata del dominio ages: Asesoria o gestion de carpetas/tramites, observaciones, pagos y valoraciones. Por su nombre agrupa observaciones, comentarios o motivos de revision, observacion, comentario o motivo de revision. No tiene uso PHP directo en la evidencia; puede ser historica, consumida por SQL/vistas/procedimientos o estar fuera del alcance estatico.",SEMANTIC_INFERENCE_REVIEW_REQUIRED,"Confirmar si `ages_observaciones_tramites` representa correctamente: Tabla candidata del dominio ages: Asesoria o gestion de carpetas/tramites, observaciones, pagos y valoraciones. Por su nombre agrupa observaciones, comentarios o motivos de revision, observacion, comentario o motivo de revision. No tiene uso PHP directo en la evidencia; puede ser historica, consumida por SQL/vistas/procedimientos o estar fuera del alcance estatico.","[""DB-TABLE-C634CF8F2C5BAD""]",ages,LIKELY_PERSONAL_OR_SENSITIVE
TABLE,ages_pagos_detalle,Physical table declared in .data_base/asgard.sql,"Tabla candidata del dominio ages: Asesoria o gestion de carpetas/tramites, observaciones, pagos y valoraciones. Por su nombre agrupa pagos o movimientos economicos, pago o movimiento economico. No tiene uso PHP directo en la evidencia; puede ser historica, consumida por SQL/vistas/procedimientos o estar fuera del alcance estatico.",SEMANTIC_INFERENCE_REVIEW_REQUIRED,"Confirmar si `ages_pagos_detalle` representa correctamente: Tabla candidata del dominio ages: Asesoria o gestion de carpetas/tramites, observaciones, pagos y valoraciones. Por su nombre agrupa pagos o movimientos economicos, pago o movimiento economico. No tiene uso PHP directo en la evidencia; puede ser historica, consumida por SQL/vistas/procedimientos o estar fuera del alcance estatico.","[""DB-TABLE-4DA660DD028D55""]",ages,UNKNOWN_OR_BUSINESS_DATA
TABLE,ages_solicitudes_asesoria_gestion,Physical table declared in .data_base/asgard.sql,"Tabla candidata del dominio ages: Asesoria o gestion de carpetas/tramites, observaciones, pagos y valoraciones. Por su nombre agrupa solicitudes de servicio o gestion iniciadas por usuario/cliente, solicitud de servicio o gestion iniciada por usuario/cliente. Tiene lecturas observadas y parece actuar como consulta, catalogo o fuente de reporte.",SEMANTIC_INFERENCE_REVIEW_REQUIRED,"Confirmar si `ages_solicitudes_asesoria_gestion` representa correctamente: Tabla candidata del dominio ages: Asesoria o gestion de carpetas/tramites, observaciones, pagos y valoraciones. Por su nombre agrupa solicitudes de servicio o gestion iniciadas por usuario/cliente, solicitud de servicio o gestion iniciada por usuario/cliente. Tiene lecturas observadas y parece actuar como consulta, catalogo o fuente de reporte.","[""DB-TABLE-E009C7DED381E0""]",ages,LIKELY_PERSONAL_OR_SENSITIVE
TABLE,ages_tipodeclaracion,Physical table declared in .data_base/asgard.sql,"Tabla candidata del dominio ages: Asesoria o gestion de carpetas/tramites, observaciones, pagos y valoraciones. Por su nombre agrupa tipo/clasificador que parametriza la regla o pantalla. Tiene lecturas observadas y parece actuar como consulta, catalogo o fuente de reporte.",SEMANTIC_INFERENCE_REVIEW_REQUIRED,"Confirmar si `ages_tipodeclaracion` representa correctamente: Tabla candidata del dominio ages: Asesoria o gestion de carpetas/tramites, observaciones, pagos y valoraciones. Por su nombre agrupa tipo/clasificador que parametriza la regla o pantalla. Tiene lecturas observadas y parece actuar como consulta, catalogo o fuente de reporte.","[""DB-TABLE-DF29A227DD8B08""]",ages,LIKELY_PERSONAL_OR_SENSITIVE
TABLE,ages_tipos_observaciones_tramites,Physical table declared in .data_base/asgard.sql,"Tabla candidata del dominio ages: Asesoria o gestion de carpetas/tramites, observaciones, pagos y valoraciones. Por su nombre agrupa tipos/clasificadores que parametrizan reglas o pantallas, observaciones, comentarios o motivos de revision, observacion, comentario o motivo de revision, tipo/clasificador que parametriza la regla o pantalla. No tiene uso PHP directo en la evidencia; puede ser historica, consumida por SQL/vistas/procedimientos o estar fuera del alcance estatico.",SEMANTIC_INFERENCE_REVIEW_REQUIRED,"Confirmar si `ages_tipos_observaciones_tramites` representa correctamente: Tabla candidata del dominio ages: Asesoria o gestion de carpetas/tramites, observaciones, pagos y valoraciones. Por su nombre agrupa tipos/clasificadores que parametrizan reglas o pantallas, observaciones, comentarios o motivos de revision, observacion, comentario o motivo de revision, tipo/clasificador que parametriza la regla o pantalla. No tiene uso PHP directo en la evidencia; puede ser historica, consumida por SQL/vistas/procedimientos o estar fuera del alcance estatico.","[""DB-TABLE-53AEE947D7B35F""]",ages,LIKELY_PERSONAL_OR_SENSITIVE
TABLE,ages_valoracion_costo_parametros,Physical table declared in .data_base/asgard.sql,"Tabla candidata del dominio ages: Asesoria o gestion de carpetas/tramites, observaciones, pagos y valoraciones. Por su nombre agrupa costo, gasto o valor economico asociado a la operacion, parametros configurables usados por reglas de negocio, parametro configurable usado por reglas de negocio, valor declarado, calculado o parametrico. Tiene lecturas observadas y parece actuar como consulta, catalogo o fuente de reporte.",SEMANTIC_INFERENCE_REVIEW_REQUIRED,"Confirmar si `ages_valoracion_costo_parametros` representa correctamente: Tabla candidata del dominio ages: Asesoria o gestion de carpetas/tramites, observaciones, pagos y valoraciones. Por su nombre agrupa costo, gasto o valor economico asociado a la operacion, parametros configurables usados por reglas de negocio, parametro configurable usado por reglas de negocio, valor declarado, calculado o parametrico. Tiene lecturas observadas y parece actuar como consulta, catalogo o fuente de reporte.","[""DB-TABLE-BE5D98DC08E8DE""]",ages,LIKELY_PERSONAL_OR_SENSITIVE
TABLE,ages_valoraciones_costos,Physical table declared in .data_base/asgard.sql,"Tabla candidata del dominio ages: Asesoria o gestion de carpetas/tramites, observaciones, pagos y valoraciones. Por su nombre agrupa costos, gastos o valores economicos asociados a la operacion, costo, gasto o valor economico asociado a la operacion, valor declarado, calculado o parametrico. No tiene uso PHP directo en la evidencia; puede ser historica, consumida por SQL/vistas/procedimientos o estar fuera del alcance estatico.",SEMANTIC_INFERENCE_REVIEW_REQUIRED,"Confirmar si `ages_valoraciones_costos` representa correctamente: Tabla candidata del dominio ages: Asesoria o gestion de carpetas/tramites, observaciones, pagos y valoraciones. Por su nombre agrupa costos, gastos o valores economicos asociados a la operacion, costo, gasto o valor economico asociado a la operacion, valor declarado, calculado o parametrico. No tiene uso PHP directo en la evidencia; puede ser historica, consumida por SQL/vistas/procedimientos o estar fuera del alcance estatico.","[""DB-TABLE-4BCDB0C1097A54""]",ages,LIKELY_PERSONAL_OR_SENSITIVE
TABLE,aux,Physical table declared in .data_base/asgard.sql,"Tabla candidata del dominio transversal: Tabla transversal o legacy sin prefijo funcional inequivoco. Por su nombre agrupa entidad o catalogo legacy cuyo significado debe confirmarse por uso en codigo y datos. No tiene uso PHP directo en la evidencia; puede ser historica, consumida por SQL/vistas/procedimientos o estar fuera del alcance estatico.",SEMANTIC_INFERENCE_REVIEW_REQUIRED,"Confirmar si `aux` representa correctamente: Tabla candidata del dominio transversal: Tabla transversal o legacy sin prefijo funcional inequivoco. Por su nombre agrupa entidad o catalogo legacy cuyo significado debe confirmarse por uso en codigo y datos. No tiene uso PHP directo en la evidencia; puede ser historica, consumida por SQL/vistas/procedimientos o estar fuera del alcance estatico.","[""DB-TABLE-6EB7C06DE668EE""]",transversal,UNKNOWN_OR_BUSINESS_DATA
TABLE,auxcnda,Physical table declared in .data_base/asgard.sql,"Tabla candidata del dominio transversal: Tabla transversal o legacy sin prefijo funcional inequivoco. Por su nombre agrupa entidad o catalogo legacy cuyo significado debe confirmarse por uso en codigo y datos. No tiene uso PHP directo en la evidencia; puede ser historica, consumida por SQL/vistas/procedimientos o estar fuera del alcance estatico.",SEMANTIC_INFERENCE_REVIEW_REQUIRED,"Confirmar si `auxcnda` representa correctamente: Tabla candidata del dominio transversal: Tabla transversal o legacy sin prefijo funcional inequivoco. Por su nombre agrupa entidad o catalogo legacy cuyo significado debe confirmarse por uso en codigo y datos. No tiene uso PHP directo en la evidencia; puede ser historica, consumida por SQL/vistas/procedimientos o estar fuera del alcance estatico.","[""DB-TABLE-864AA138EB2993""]",transversal,UNKNOWN_OR_BUSINESS_DATA
TABLE,base_datos_sap,Physical table declared in .data_base/asgard.sql,"Tabla candidata del dominio transversal: Tabla transversal o legacy sin prefijo funcional inequivoco. Por su nombre agrupa codigo o referencia de integracion con SAP. No tiene uso PHP directo en la evidencia; puede ser historica, consumida por SQL/vistas/procedimientos o estar fuera del alcance estatico.",SEMANTIC_INFERENCE_REVIEW_REQUIRED,"Confirmar si `base_datos_sap` representa correctamente: Tabla candidata del dominio transversal: Tabla transversal o legacy sin prefijo funcional inequivoco. Por su nombre agrupa codigo o referencia de integracion con SAP. No tiene uso PHP directo en la evidencia; puede ser historica, consumida por SQL/vistas/procedimientos o estar fuera del alcance estatico.","[""DB-TABLE-DC1BFD6061F589""]",transversal,UNKNOWN_OR_BUSINESS_DATA
TABLE,bot_dex,Physical table declared in .data_base/asgard.sql,"Tabla candidata del dominio bot: Automatizacion o bot asociado a procesamiento documental/aduanero. Por su nombre agrupa entidad o catalogo legacy cuyo significado debe confirmarse por uso en codigo y datos. No tiene uso PHP directo en la evidencia; puede ser historica, consumida por SQL/vistas/procedimientos o estar fuera del alcance estatico.",SEMANTIC_INFERENCE_REVIEW_REQUIRED,"Confirmar si `bot_dex` representa correctamente: Tabla candidata del dominio bot: Automatizacion o bot asociado a procesamiento documental/aduanero. Por su nombre agrupa entidad o catalogo legacy cuyo significado debe confirmarse por uso en codigo y datos. No tiene uso PHP directo en la evidencia; puede ser historica, consumida por SQL/vistas/procedimientos o estar fuera del alcance estatico.","[""DB-TABLE-EE16568D7B3A55""]",bot,UNKNOWN_OR_BUSINESS_DATA
TABLE,bot_suma,Physical table declared in .data_base/asgard.sql,"Tabla candidata del dominio bot: Automatizacion o bot asociado a procesamiento documental/aduanero. Por su nombre agrupa entidad o catalogo legacy cuyo significado debe confirmarse por uso en codigo y datos. No tiene uso PHP directo en la evidencia; puede ser historica, consumida por SQL/vistas/procedimientos o estar fuera del alcance estatico.",SEMANTIC_INFERENCE_REVIEW_REQUIRED,"Confirmar si `bot_suma` representa correctamente: Tabla candidata del dominio bot: Automatizacion o bot asociado a procesamiento documental/aduanero. Por su nombre agrupa entidad o catalogo legacy cuyo significado debe confirmarse por uso en codigo y datos. No tiene uso PHP directo en la evidencia; puede ser historica, consumida por SQL/vistas/procedimientos o estar fuera del alcance estatico.","[""DB-TABLE-5F924DF257C08F""]",bot,UNKNOWN_OR_BUSINESS_DATA
TABLE,cad_tipoerror,Physical table declared in .data_base/asgard.sql,"Tabla candidata del dominio transversal: Tabla transversal o legacy sin prefijo funcional inequivoco. Por su nombre agrupa tipo/clasificador que parametriza la regla o pantalla. No tiene uso PHP directo en la evidencia; puede ser historica, consumida por SQL/vistas/procedimientos o estar fuera del alcance estatico.",SEMANTIC_INFERENCE_REVIEW_REQUIRED,"Confirmar si `cad_tipoerror` representa correctamente: Tabla candidata del dominio transversal: Tabla transversal o legacy sin prefijo funcional inequivoco. Por su nombre agrupa tipo/clasificador que parametriza la regla o pantalla. No tiene uso PHP directo en la evidencia; puede ser historica, consumida por SQL/vistas/procedimientos o estar fuera del alcance estatico.","[""DB-TABLE-9922BEA4D5A65D""]",transversal,UNKNOWN_OR_BUSINESS_DATA
TABLE,cars,Physical table declared in .data_base/asgard.sql,"Tabla candidata del dominio transversal: Tabla transversal o legacy sin prefijo funcional inequivoco. Por su nombre agrupa entidad o catalogo legacy cuyo significado debe confirmarse por uso en codigo y datos. No tiene uso PHP directo en la evidencia; puede ser historica, consumida por SQL/vistas/procedimientos o estar fuera del alcance estatico.",SEMANTIC_INFERENCE_REVIEW_REQUIRED,"Confirmar si `cars` representa correctamente: Tabla candidata del dominio transversal: Tabla transversal o legacy sin prefijo funcional inequivoco. Por su nombre agrupa entidad o catalogo legacy cuyo significado debe confirmarse por uso en codigo y datos. No tiene uso PHP directo en la evidencia; puede ser historica, consumida por SQL/vistas/procedimientos o estar fuera del alcance estatico.","[""DB-TABLE-73802A3AF910DA""]",transversal,UNKNOWN_OR_BUSINESS_DATA
