table	source	line	evidence_id	technical_description	business_description	description_source	validation_status	owner_domain	lifecycle	pii	active_status	read_references	write_references	usage_status
ads_clienteagenteseguro	.data_base/asgard.sql	211	DB-TABLE-8039FAC4E4DDAA	Physical table declared in .data_base/asgard.sql	Tabla candidata del dominio ads: Agentes de seguro o soporte documental asociado a seguros/contactos. Por su nombre agrupa cliente/tenant propietario de la operacion o filtro de visibilidad, agentes externos o internos que participan en gestion aduanera/operativa, agente externo o interno que participa en gestion aduanera/operativa. Tiene lectura y escritura observada, por lo que probablemente participa en un flujo transaccional activo.	SEMANTIC_REVERSE_ENGINEERING_CANDIDATE	SEMANTIC_INFERENCE_REVIEW_REQUIRED	ads	DOMAIN_ENTITY_OR_LEGACY	UNKNOWN_OR_BUSINESS_DATA	UNKNOWN	1	1	USED
ads_contactos	.data_base/asgard.sql	222	DB-TABLE-CC6DBAB1B625D4	Physical table declared in .data_base/asgard.sql	Tabla candidata del dominio ads: Agentes de seguro o soporte documental asociado a seguros/contactos. Por su nombre agrupa personas de contacto y sus datos de comunicacion, persona de contacto y sus datos de comunicacion. Tiene lectura y escritura observada, por lo que probablemente participa en un flujo transaccional activo.	SEMANTIC_REVERSE_ENGINEERING_CANDIDATE	SEMANTIC_INFERENCE_REVIEW_REQUIRED	ads	DOMAIN_ENTITY_OR_LEGACY	LIKELY_PERSONAL_OR_SENSITIVE	UNKNOWN	2	1	USED
ads_documentos	.data_base/asgard.sql	241	DB-TABLE-F77D506A904707	Physical table declared in .data_base/asgard.sql	Tabla candidata del dominio ads: Agentes de seguro o soporte documental asociado a seguros/contactos. Por su nombre agrupa documentos o soportes asociados al expediente, documento o soporte asociado al expediente. Tiene lectura y escritura observada, por lo que probablemente participa en un flujo transaccional activo.	SEMANTIC_REVERSE_ENGINEERING_CANDIDATE	SEMANTIC_INFERENCE_REVIEW_REQUIRED	ads	DOCUMENT_LIFECYCLE	UNKNOWN_OR_BUSINESS_DATA	UNKNOWN	1	1	USED
ads_tipocontactos	.data_base/asgard.sql	260	DB-TABLE-40E344DDDCC30B	Physical table declared in .data_base/asgard.sql	Tabla candidata del dominio ads: Agentes de seguro o soporte documental asociado a seguros/contactos. Por su nombre agrupa personas de contacto y sus datos de comunicacion, persona de contacto y sus datos de comunicacion, tipo/clasificador que parametriza la regla o pantalla. Tiene lecturas observadas y parece actuar como consulta, catalogo o fuente de reporte.	SEMANTIC_REVERSE_ENGINEERING_CANDIDATE	SEMANTIC_INFERENCE_REVIEW_REQUIRED	ads	DOMAIN_ENTITY_OR_LEGACY	LIKELY_PERSONAL_OR_SENSITIVE	UNKNOWN	1	0	USED
adt_agente_traking	.data_base/asgard.sql	272	DB-TABLE-B0415CEAB695B2	Physical table declared in .data_base/asgard.sql	Tabla candidata del dominio transversal: Tabla transversal o legacy sin prefijo funcional inequivoco. Por su nombre agrupa agente externo o interno que participa en gestion aduanera/operativa. Tiene lectura y escritura observada, por lo que probablemente participa en un flujo transaccional activo.	SEMANTIC_REVERSE_ENGINEERING_CANDIDATE	SEMANTIC_INFERENCE_REVIEW_REQUIRED	transversal	DOMAIN_ENTITY_OR_LEGACY	UNKNOWN_OR_BUSINESS_DATA	UNKNOWN	1	1	USED
ages_asesoria_gestion_carpetas	.data_base/asgard.sql	288	DB-TABLE-9939EAFD6E1445	Physical table declared in .data_base/asgard.sql	Tabla candidata del dominio ages: Asesoria o gestion de carpetas/tramites, observaciones, pagos y valoraciones. Por su nombre agrupa entidad o catalogo legacy cuyo significado debe confirmarse por uso en codigo y datos. Tiene lecturas observadas y parece actuar como consulta, catalogo o fuente de reporte.	SEMANTIC_REVERSE_ENGINEERING_CANDIDATE	SEMANTIC_INFERENCE_REVIEW_REQUIRED	ages	DOMAIN_ENTITY_OR_LEGACY	UNKNOWN_OR_BUSINESS_DATA	UNKNOWN	2	0	USED
ages_estados	.data_base/asgard.sql	327	DB-TABLE-4E6CAFC6CC4A00	Physical table declared in .data_base/asgard.sql	Tabla candidata del dominio ages: Asesoria o gestion de carpetas/tramites, observaciones, pagos y valoraciones. Por su nombre agrupa estados de ciclo de vida o clasificacion operacional, estado de ciclo de vida o clasificacion operacional. Tiene lecturas observadas y parece actuar como consulta, catalogo o fuente de reporte.	SEMANTIC_REVERSE_ENGINEERING_CANDIDATE	SEMANTIC_INFERENCE_REVIEW_REQUIRED	ages	CATALOG_STATE	UNKNOWN_OR_BUSINESS_DATA	UNKNOWN	1	0	USED
ages_etapa	.data_base/asgard.sql	337	DB-TABLE-AFE8CBD4CF945C	Physical table declared in .data_base/asgard.sql	Tabla candidata del dominio ages: Asesoria o gestion de carpetas/tramites, observaciones, pagos y valoraciones. Por su nombre agrupa entidad o catalogo legacy cuyo significado debe confirmarse por uso en codigo y datos. Tiene lecturas observadas y parece actuar como consulta, catalogo o fuente de reporte.	SEMANTIC_REVERSE_ENGINEERING_CANDIDATE	SEMANTIC_INFERENCE_REVIEW_REQUIRED	ages	DOMAIN_ENTITY_OR_LEGACY	UNKNOWN_OR_BUSINESS_DATA	UNKNOWN	1	0	USED
ages_observaciones_tramites	.data_base/asgard.sql	347	DB-TABLE-C634CF8F2C5BAD	Physical table declared in .data_base/asgard.sql	Tabla candidata del dominio ages: Asesoria o gestion de carpetas/tramites, observaciones, pagos y valoraciones. Por su nombre agrupa observaciones, comentarios o motivos de revision, observacion, comentario o motivo de revision. No tiene uso PHP directo en la evidencia; puede ser historica, consumida por SQL/vistas/procedimientos o estar fuera del alcance estatico.	SEMANTIC_REVERSE_ENGINEERING_CANDIDATE	SEMANTIC_INFERENCE_REVIEW_REQUIRED	ages	DOMAIN_ENTITY_OR_LEGACY	LIKELY_PERSONAL_OR_SENSITIVE	UNKNOWN	0	0	NO_USAGE_FOUND
ages_pagos_detalle	.data_base/asgard.sql	364	DB-TABLE-4DA660DD028D55	Physical table declared in .data_base/asgard.sql	Tabla candidata del dominio ages: Asesoria o gestion de carpetas/tramites, observaciones, pagos y valoraciones. Por su nombre agrupa pagos o movimientos economicos, pago o movimiento economico. No tiene uso PHP directo en la evidencia; puede ser historica, consumida por SQL/vistas/procedimientos o estar fuera del alcance estatico.	SEMANTIC_REVERSE_ENGINEERING_CANDIDATE	SEMANTIC_INFERENCE_REVIEW_REQUIRED	ages	DOMAIN_ENTITY_OR_LEGACY	UNKNOWN_OR_BUSINESS_DATA	UNKNOWN	0	0	NO_USAGE_FOUND
ages_solicitudes_asesoria_gestion	.data_base/asgard.sql	391	DB-TABLE-E009C7DED381E0	Physical table declared in .data_base/asgard.sql	Tabla candidata del dominio ages: Asesoria o gestion de carpetas/tramites, observaciones, pagos y valoraciones. Por su nombre agrupa solicitudes de servicio o gestion iniciadas por usuario/cliente, solicitud de servicio o gestion iniciada por usuario/cliente. Tiene lecturas observadas y parece actuar como consulta, catalogo o fuente de reporte.	SEMANTIC_REVERSE_ENGINEERING_CANDIDATE	SEMANTIC_INFERENCE_REVIEW_REQUIRED	ages	TRANSACTIONAL_LIFECYCLE	LIKELY_PERSONAL_OR_SENSITIVE	UNKNOWN	2	0	USED
ages_tipodeclaracion	.data_base/asgard.sql	439	DB-TABLE-DF29A227DD8B08	Physical table declared in .data_base/asgard.sql	Tabla candidata del dominio ages: Asesoria o gestion de carpetas/tramites, observaciones, pagos y valoraciones. Por su nombre agrupa tipo/clasificador que parametriza la regla o pantalla. Tiene lecturas observadas y parece actuar como consulta, catalogo o fuente de reporte.	SEMANTIC_REVERSE_ENGINEERING_CANDIDATE	SEMANTIC_INFERENCE_REVIEW_REQUIRED	ages	DOMAIN_ENTITY_OR_LEGACY	LIKELY_PERSONAL_OR_SENSITIVE	UNKNOWN	1	0	USED
ages_tipos_observaciones_tramites	.data_base/asgard.sql	449	DB-TABLE-53AEE947D7B35F	Physical table declared in .data_base/asgard.sql	Tabla candidata del dominio ages: Asesoria o gestion de carpetas/tramites, observaciones, pagos y valoraciones. Por su nombre agrupa tipos/clasificadores que parametrizan reglas o pantallas, observaciones, comentarios o motivos de revision, observacion, comentario o motivo de revision, tipo/clasificador que parametriza la regla o pantalla. No tiene uso PHP directo en la evidencia; puede ser historica, consumida por SQL/vistas/procedimientos o estar fuera del alcance estatico.	SEMANTIC_REVERSE_ENGINEERING_CANDIDATE	SEMANTIC_INFERENCE_REVIEW_REQUIRED	ages	REFERENCE_DATA	LIKELY_PERSONAL_OR_SENSITIVE	UNKNOWN	0	0	NO_USAGE_FOUND
ages_valoracion_costo_parametros	.data_base/asgard.sql	464	DB-TABLE-BE5D98DC08E8DE	Physical table declared in .data_base/asgard.sql	Tabla candidata del dominio ages: Asesoria o gestion de carpetas/tramites, observaciones, pagos y valoraciones. Por su nombre agrupa costo, gasto o valor economico asociado a la operacion, parametros configurables usados por reglas de negocio, parametro configurable usado por reglas de negocio, valor declarado, calculado o parametrico. Tiene lecturas observadas y parece actuar como consulta, catalogo o fuente de reporte.	SEMANTIC_REVERSE_ENGINEERING_CANDIDATE	SEMANTIC_INFERENCE_REVIEW_REQUIRED	ages	REFERENCE_DATA	LIKELY_PERSONAL_OR_SENSITIVE	UNKNOWN	1	0	USED
ages_valoraciones_costos	.data_base/asgard.sql	490	DB-TABLE-4BCDB0C1097A54	Physical table declared in .data_base/asgard.sql	Tabla candidata del dominio ages: Asesoria o gestion de carpetas/tramites, observaciones, pagos y valoraciones. Por su nombre agrupa costos, gastos o valores economicos asociados a la operacion, costo, gasto o valor economico asociado a la operacion, valor declarado, calculado o parametrico. No tiene uso PHP directo en la evidencia; puede ser historica, consumida por SQL/vistas/procedimientos o estar fuera del alcance estatico.	SEMANTIC_REVERSE_ENGINEERING_CANDIDATE	SEMANTIC_INFERENCE_REVIEW_REQUIRED	ages	DOMAIN_ENTITY_OR_LEGACY	LIKELY_PERSONAL_OR_SENSITIVE	UNKNOWN	0	0	NO_USAGE_FOUND
aux	.data_base/asgard.sql	513	DB-TABLE-6EB7C06DE668EE	Physical table declared in .data_base/asgard.sql	Tabla candidata del dominio transversal: Tabla transversal o legacy sin prefijo funcional inequivoco. Por su nombre agrupa entidad o catalogo legacy cuyo significado debe confirmarse por uso en codigo y datos. No tiene uso PHP directo en la evidencia; puede ser historica, consumida por SQL/vistas/procedimientos o estar fuera del alcance estatico.	SEMANTIC_REVERSE_ENGINEERING_CANDIDATE	SEMANTIC_INFERENCE_REVIEW_REQUIRED	transversal	DOMAIN_ENTITY_OR_LEGACY	UNKNOWN_OR_BUSINESS_DATA	UNKNOWN	0	0	NO_USAGE_FOUND
auxcnda	.data_base/asgard.sql	523	DB-TABLE-864AA138EB2993	Physical table declared in .data_base/asgard.sql	Tabla candidata del dominio transversal: Tabla transversal o legacy sin prefijo funcional inequivoco. Por su nombre agrupa entidad o catalogo legacy cuyo significado debe confirmarse por uso en codigo y datos. No tiene uso PHP directo en la evidencia; puede ser historica, consumida por SQL/vistas/procedimientos o estar fuera del alcance estatico.	SEMANTIC_REVERSE_ENGINEERING_CANDIDATE	SEMANTIC_INFERENCE_REVIEW_REQUIRED	transversal	DOMAIN_ENTITY_OR_LEGACY	UNKNOWN_OR_BUSINESS_DATA	UNKNOWN	0	0	NO_USAGE_FOUND
base_datos_sap	.data_base/asgard.sql	536	DB-TABLE-DC1BFD6061F589	Physical table declared in .data_base/asgard.sql	Tabla candidata del dominio transversal: Tabla transversal o legacy sin prefijo funcional inequivoco. Por su nombre agrupa codigo o referencia de integracion con SAP. No tiene uso PHP directo en la evidencia; puede ser historica, consumida por SQL/vistas/procedimientos o estar fuera del alcance estatico.	SEMANTIC_REVERSE_ENGINEERING_CANDIDATE	SEMANTIC_INFERENCE_REVIEW_REQUIRED	transversal	DOMAIN_ENTITY_OR_LEGACY	UNKNOWN_OR_BUSINESS_DATA	UNKNOWN	0	0	NO_USAGE_FOUND
bot_dex	.data_base/asgard.sql	589	DB-TABLE-EE16568D7B3A55	Physical table declared in .data_base/asgard.sql	Tabla candidata del dominio bot: Automatizacion o bot asociado a procesamiento documental/aduanero. Por su nombre agrupa entidad o catalogo legacy cuyo significado debe confirmarse por uso en codigo y datos. No tiene uso PHP directo en la evidencia; puede ser historica, consumida por SQL/vistas/procedimientos o estar fuera del alcance estatico.	SEMANTIC_REVERSE_ENGINEERING_CANDIDATE	SEMANTIC_INFERENCE_REVIEW_REQUIRED	bot	DOMAIN_ENTITY_OR_LEGACY	UNKNOWN_OR_BUSINESS_DATA	UNKNOWN	0	0	NO_USAGE_FOUND
bot_suma	.data_base/asgard.sql	607	DB-TABLE-5F924DF257C08F	Physical table declared in .data_base/asgard.sql	Tabla candidata del dominio bot: Automatizacion o bot asociado a procesamiento documental/aduanero. Por su nombre agrupa entidad o catalogo legacy cuyo significado debe confirmarse por uso en codigo y datos. No tiene uso PHP directo en la evidencia; puede ser historica, consumida por SQL/vistas/procedimientos o estar fuera del alcance estatico.	SEMANTIC_REVERSE_ENGINEERING_CANDIDATE	SEMANTIC_INFERENCE_REVIEW_REQUIRED	bot	DOMAIN_ENTITY_OR_LEGACY	UNKNOWN_OR_BUSINESS_DATA	UNKNOWN	0	0	NO_USAGE_FOUND
cad_tipoerror	.data_base/asgard.sql	641	DB-TABLE-9922BEA4D5A65D	Physical table declared in .data_base/asgard.sql	Tabla candidata del dominio transversal: Tabla transversal o legacy sin prefijo funcional inequivoco. Por su nombre agrupa tipo/clasificador que parametriza la regla o pantalla. No tiene uso PHP directo en la evidencia; puede ser historica, consumida por SQL/vistas/procedimientos o estar fuera del alcance estatico.	SEMANTIC_REVERSE_ENGINEERING_CANDIDATE	SEMANTIC_INFERENCE_REVIEW_REQUIRED	transversal	DOMAIN_ENTITY_OR_LEGACY	UNKNOWN_OR_BUSINESS_DATA	UNKNOWN	0	0	NO_USAGE_FOUND
cars	.data_base/asgard.sql	652	DB-TABLE-73802A3AF910DA	Physical table declared in .data_base/asgard.sql	Tabla candidata del dominio transversal: Tabla transversal o legacy sin prefijo funcional inequivoco. Por su nombre agrupa entidad o catalogo legacy cuyo significado debe confirmarse por uso en codigo y datos. No tiene uso PHP directo en la evidencia; puede ser historica, consumida por SQL/vistas/procedimientos o estar fuera del alcance estatico.	SEMANTIC_REVERSE_ENGINEERING_CANDIDATE	SEMANTIC_INFERENCE_REVIEW_REQUIRED	transversal	DOMAIN_ENTITY_OR_LEGACY	UNKNOWN_OR_BUSINESS_DATA	UNKNOWN	0	0	NO_USAGE_FOUND
cc_archivos	.data_base/asgard.sql	665	DB-TABLE-752F123072B607	Physical table declared in .data_base/asgard.sql	Tabla candidata del dominio cc: Control documental o control de chasis/mercancias/documentos. Por su nombre agrupa entidad o catalogo legacy cuyo significado debe confirmarse por uso en codigo y datos. Tiene lectura y escritura observada, por lo que probablemente participa en un flujo transaccional activo.	SEMANTIC_REVERSE_ENGINEERING_CANDIDATE	SEMANTIC_INFERENCE_REVIEW_REQUIRED	cc	DOCUMENT_LIFECYCLE	UNKNOWN_OR_BUSINESS_DATA	UNKNOWN	1	1	USED
cc_chasis_codigo_documento	.data_base/asgard.sql	680	DB-TABLE-7B05E6BCF4C630	Physical table declared in .data_base/asgard.sql	Tabla candidata del dominio cc: Control documental o control de chasis/mercancias/documentos. Por su nombre agrupa documento o soporte asociado al expediente. Tiene escrituras observadas sin lecturas directas en la evidencia disponible; revisar si es staging, log o tabla consumida indirectamente.	SEMANTIC_REVERSE_ENGINEERING_CANDIDATE	SEMANTIC_INFERENCE_REVIEW_REQUIRED	cc	DOCUMENT_LIFECYCLE	UNKNOWN_OR_BUSINESS_DATA	UNKNOWN	0	2	USED
cc_mercancias	.data_base/asgard.sql	695	DB-TABLE-D4D752FC673CF1	Physical table declared in .data_base/asgard.sql	Tabla candidata del dominio cc: Control documental o control de chasis/mercancias/documentos. Por su nombre agrupa mercancias o items objeto de transporte/declaracion, mercancia o item objeto de transporte/declaracion. Tiene lectura y escritura observada, por lo que probablemente participa en un flujo transaccional activo.	SEMANTIC_REVERSE_ENGINEERING_CANDIDATE	SEMANTIC_INFERENCE_REVIEW_REQUIRED	cc	DOMAIN_ENTITY_OR_LEGACY	LIKELY_PERSONAL_OR_SENSITIVE	UNKNOWN	5	1	USED
cc_registro_documentos	.data_base/asgard.sql	710	DB-TABLE-D145A4D4DE8467	Physical table declared in .data_base/asgard.sql	Tabla candidata del dominio cc: Control documental o control de chasis/mercancias/documentos. Por su nombre agrupa documentos o soportes asociados al expediente, documento o soporte asociado al expediente. Tiene lectura y escritura observada, por lo que probablemente participa en un flujo transaccional activo.	SEMANTIC_REVERSE_ENGINEERING_CANDIDATE	SEMANTIC_INFERENCE_REVIEW_REQUIRED	cc	DOCUMENT_LIFECYCLE	UNKNOWN_OR_BUSINESS_DATA	UNKNOWN	9	1	USED
cc_tipos_documentos	.data_base/asgard.sql	747	DB-TABLE-05A4C4DB6D8FC6	Physical table declared in .data_base/asgard.sql	Tabla candidata del dominio cc: Control documental o control de chasis/mercancias/documentos. Por su nombre agrupa tipos/clasificadores que parametrizan reglas o pantallas, documentos o soportes asociados al expediente, documento o soporte asociado al expediente, tipo/clasificador que parametriza la regla o pantalla. Tiene lecturas observadas y parece actuar como consulta, catalogo o fuente de reporte.	SEMANTIC_REVERSE_ENGINEERING_CANDIDATE	SEMANTIC_INFERENCE_REVIEW_REQUIRED	cc	REFERENCE_DATA	UNKNOWN_OR_BUSINESS_DATA	UNKNOWN	5	0	USED
cn_clienteconcesionario	.data_base/asgard.sql	761	DB-TABLE-48BB42B1F101AF	Physical table declared in .data_base/asgard.sql	Tabla candidata del dominio cn: Concesionarios, contactos y relaciones cliente-concesionario. Por su nombre agrupa cliente/tenant propietario de la operacion o filtro de visibilidad. No tiene uso PHP directo en la evidencia; puede ser historica, consumida por SQL/vistas/procedimientos o estar fuera del alcance estatico.	SEMANTIC_REVERSE_ENGINEERING_CANDIDATE	SEMANTIC_INFERENCE_REVIEW_REQUIRED	cn	DOMAIN_ENTITY_OR_LEGACY	UNKNOWN_OR_BUSINESS_DATA	UNKNOWN	0	0	NO_USAGE_FOUND
cn_concesionario	.data_base/asgard.sql	772	DB-TABLE-1C870B95A5F33A	Physical table declared in .data_base/asgard.sql	Tabla candidata del dominio cn: Concesionarios, contactos y relaciones cliente-concesionario. Por su nombre agrupa entidad o catalogo legacy cuyo significado debe confirmarse por uso en codigo y datos. No tiene uso PHP directo en la evidencia; puede ser historica, consumida por SQL/vistas/procedimientos o estar fuera del alcance estatico.	SEMANTIC_REVERSE_ENGINEERING_CANDIDATE	SEMANTIC_INFERENCE_REVIEW_REQUIRED	cn	DOMAIN_ENTITY_OR_LEGACY	UNKNOWN_OR_BUSINESS_DATA	UNKNOWN	0	0	NO_USAGE_FOUND
cn_concesionario_contactos	.data_base/asgard.sql	791	DB-TABLE-9CF689A4CD13DB	Physical table declared in .data_base/asgard.sql	Tabla candidata del dominio cn: Concesionarios, contactos y relaciones cliente-concesionario. Por su nombre agrupa personas de contacto y sus datos de comunicacion, persona de contacto y sus datos de comunicacion. No tiene uso PHP directo en la evidencia; puede ser historica, consumida por SQL/vistas/procedimientos o estar fuera del alcance estatico.	SEMANTIC_REVERSE_ENGINEERING_CANDIDATE	SEMANTIC_INFERENCE_REVIEW_REQUIRED	cn	DOMAIN_ENTITY_OR_LEGACY	LIKELY_PERSONAL_OR_SENSITIVE	UNKNOWN	0	0	NO_USAGE_FOUND
cn_tipo_contactos	.data_base/asgard.sql	812	DB-TABLE-8C5951D027F64E	Physical table declared in .data_base/asgard.sql	Tabla candidata del dominio cn: Concesionarios, contactos y relaciones cliente-concesionario. Por su nombre agrupa tipo/clasificador que parametriza la regla o pantalla, personas de contacto y sus datos de comunicacion, persona de contacto y sus datos de comunicacion. No tiene uso PHP directo en la evidencia; puede ser historica, consumida por SQL/vistas/procedimientos o estar fuera del alcance estatico.	SEMANTIC_REVERSE_ENGINEERING_CANDIDATE	SEMANTIC_INFERENCE_REVIEW_REQUIRED	cn	REFERENCE_DATA	LIKELY_PERSONAL_OR_SENSITIVE	UNKNOWN	0	0	NO_USAGE_FOUND
con_contrato	.data_base/asgard.sql	828	DB-TABLE-5FF3A2F84DEBC7	Physical table declared in .data_base/asgard.sql	Tabla candidata del dominio con: Contratos, unidades de negocio, documentos, estados y observaciones contractuales. Por su nombre agrupa entidad o catalogo legacy cuyo significado debe confirmarse por uso en codigo y datos. No tiene uso PHP directo en la evidencia; puede ser historica, consumida por SQL/vistas/procedimientos o estar fuera del alcance estatico.	SEMANTIC_REVERSE_ENGINEERING_CANDIDATE	SEMANTIC_INFERENCE_REVIEW_REQUIRED	con	DOMAIN_ENTITY_OR_LEGACY	UNKNOWN_OR_BUSINESS_DATA	UNKNOWN	0	0	NO_USAGE_FOUND
